背番号,クラブ名,選手名,生年月日,JリーグID
39,浦和レッズ,早川　隼平,2005/12/5,1636532
40,浦和レッズ,ルカ　ディドゥリカ,2007/9/18,1655794
41,浦和レッズ,二田　理央,2003/4/10,1634323
42,浦和レッズ,田中　義峯,2008/4/5,1651661
43,浦和レッズ,和田　武士,2009/6/5,1651678
45,浦和レッズ,オナイウ　阿道,1995/11/8,1400082
77,浦和レッズ,金子　拓郎,1997/7/30,1624851
88,浦和レッズ,長沼　洋一,1997/4/14,1401506
2,ジェフユナイテッド千葉,髙橋　壱晟,1998/4/20,1504442
3,ジェフユナイテッド千葉,久保庭　良太,2001/10/14,1641150
4,ジェフユナイテッド千葉,田口　泰士,1991/3/16,900106
5,ジェフユナイテッド千葉,小林　祐介,1994/10/23,1200953
6,ジェフユナイテッド千葉,エドゥアルド,1997/2/1,1636316
7,ジェフユナイテッド千葉,田中　和樹,2000/1/13,1612122
8,ジェフユナイテッド千葉,津久井　匠海,2002/4/30,1622683
9,ジェフユナイテッド千葉,呉屋　大翔,1994/1/2,1503479
10,ジェフユナイテッド千葉,カルリーニョス　ジュニオ,1994/8/8,1629926
11,ジェフユナイテッド千葉,米倉　恒貴,1988/5/17,700762
13,ジェフユナイテッド千葉,鈴木　大輔,1990/1/29,701094
14,ジェフユナイテッド千葉,椿　直起,2000/6/23,1604302
15,ジェフユナイテッド千葉,前　貴之,1993/9/16,1100302
18,ジェフユナイテッド千葉,杉山　直宏,1998/9/7,1632219
19,ジェフユナイテッド千葉,ホセ　スアレス,1995/12/18,1636859
20,ジェフユナイテッド千葉,石川　大地,1996/2/22,1503723
21,ジェフユナイテッド千葉,薄井　覇斗,1999/7/11,1633180
23,ジェフユナイテッド千葉,鈴木　椋大,1994/2/10,1000632
24,ジェフユナイテッド千葉,鳥海　晃司,1995/5/9,1618063
26,ジェフユナイテッド千葉,植田　悠太,2004/7/6,1635215
27,ジェフユナイテッド千葉,岩井　琢朗,2002/11/27,1632784
28,ジェフユナイテッド千葉,河野　貴志,1996/6/17,1604890
30,ジェフユナイテッド千葉,松村　拓実,2004/1/3,1655840
32,ジェフユナイテッド千葉,天笠　泰輝,2000/5/11,1630190
33,ジェフユナイテッド千葉,猪狩　祐真,2003/3/3,1647011
35,ジェフユナイテッド千葉,若原　智哉,1999/12/28,1601841
37,ジェフユナイテッド千葉,姫野　誠,2008/8/12,1653085
39,ジェフユナイテッド千葉,石尾　陸登,2001/8/7,1641392
41,ジェフユナイテッド千葉,安井　拓也,1998/11/21,1602931
42,ジェフユナイテッド千葉,イサカ　ゼイン,1997/5/29,1600012
44,ジェフユナイテッド千葉,品田　愛斗,1999/9/19,1604245
46,ジェフユナイテッド千葉,齋藤　隼士,2008/4/12,1656021
47,ジェフユナイテッド千葉,伊藤　暖,2009/3/3,1656019
67,ジェフユナイテッド千葉,日高　大,1995/3/14,1630056
1,柏レイソル,猿田　遥己,1999/4/23,1607370
2,柏レイソル,三丸　拡,1993/7/6,1600210
4,柏レイソル,古賀　太陽,1998/10/28,1603080
6,柏レイソル,山田　雄士,2000/5/17,1620802
8,柏レイソル,小泉　佳穂,1996/10/5,1500292
9,柏レイソル,細谷　真大,2001/9/7,1625303
11,柏レイソル,渡井　理己,1999/7/18,1617910
13,柏レイソル,犬飼　智也,1993/5/12,1200017
14,柏レイソル,大久保　智明,1998/7/23,1627551
15,柏レイソル,小見　洋太,2002/8/11,1632203
16,柏レイソル,汰木　康也,1995/7/3,1300447
17,柏レイソル,手塚　康平,1996/4/6,1400848
18,柏レイソル,垣田　裕暉,1997/7/14,1600141
19,柏レイソル,仲間　隼斗,1992/5/16,1100131
20,柏レイソル,瀬川　祐輔,1994/2/7,1600146
21,柏レイソル,小西　雄大,1998/4/18,1601436
22,柏レイソル,野田　裕喜,1997/7/27,1401518
23,柏レイソル,長南　開史,2009/4/7,1649826
24,柏レイソル,久保　藤次郎,1999/4/5,1634324
25,柏レイソル,小島　亨介,1997/1/30,1300961
26,柏レイソル,杉岡　大暉,1998/9/8,1600029
27,柏レイソル,熊坂　光希,2001/4/15,1637046
28,柏レイソル,戸嶋　祥郎,1995/9/26,1611125
29,柏レイソル,永井　堅梧,1994/11/6,1300058
30,柏レイソル,古谷　柊介,2005/1/26,1641583
31,柏レイソル,成瀬　竣平,2001/1/17,1604178
32,柏レイソル,山之内　佑成,2003/9/1,1637309
33,柏レイソル,岩永　創太,2005/10/7,1643559
34,柏レイソル,土屋　巧,2003/10/25,1636246
36,柏レイソル,古澤　ナベル慈宇,2003/3/28,1637066
37,柏レイソル,角田　惠風,2003/8/18,1651576
38,柏レイソル,島野　怜,2004/1/7,1637253
39,柏レイソル,中川　敦瑛,2002/5/15,1635453
40,柏レイソル,原川　力,1993/8/18,900649
41,柏レイソル,坂田　大樹,1994/9/11,1630052
42,柏レイソル,原田　亘,1996/7/22,1627436
46,柏レイソル,松本　健太,1997/5/4,1627755
56,柏レイソル,常藤　奏,2004/7/13,1641612
87,柏レイソル,山内　日向汰,2001/5/30,1635485
88,柏レイソル,馬場　晴也,2001/10/24,1613331
1,ＦＣ東京,田中　颯,1999/6/10,1636249
2,ＦＣ東京,室屋　成,1994/4/5,1400645
3,ＦＣ東京,森重　真人,1987/5/21,600085
4,ＦＣ東京,木本　恭生,1993/8/6,1400642
5,ＦＣ東京,長友　佑都,1986/9/12,701087
6,ＦＣ東京,バングーナガンデ　佳史扶,2001/9/24,1618671
8,ＦＣ東京,高　宇洋,1998/4/20,1600022
9,ＦＣ東京,マルセロ　ヒアン,2002/6/8,1639139
10,ＦＣ東京,東　慶悟,1990/7/20,900048
11,ＦＣ東京,小柏　剛,1998/7/9,1630184
15,ＦＣ東京,大森　理生,2002/7/21,1625428
16,ＦＣ東京,佐藤　恵允,2001/7/11,1635332
17,ＦＣ東京,稲村　隼翔,2002/5/6,1637095
18,ＦＣ東京,橋本　拳人,1993/8/16,1000641
21,ＦＣ東京,菅原　悠太,2007/9/7,1643407
22,ＦＣ東京,遠藤　渓太,1997/11/22,1600177
23,ＦＣ東京,佐藤　龍之介,2006/10/16,1641151
24,ＦＣ東京,アレクサンダー　ショルツ,1992/10/24,1502901
25,ＦＣ東京,小湊　絆,2004/11/18,1642064
26,ＦＣ東京,長倉　幹樹,1999/10/7,1632774
27,ＦＣ東京,常盤　亨太,2002/4/9,1627192
28,ＦＣ東京,野澤　零温,2003/7/21,1627742
31,ＦＣ東京,小林　将天,2005/9/20,1636506
32,ＦＣ東京,土肥　幹太,2004/11/10,1636505
33,ＦＣ東京,俵積田　晃太,2004/5/14,1636792
37,ＦＣ東京,小泉　慶,1995/4/19,1400051
38,ＦＣ東京,田中　希和,2007/8/7,1644476
39,ＦＣ東京,仲川　輝人,1992/7/27,1400647
42,ＦＣ東京,橋本　健人,1999/12/8,1630141
44,ＦＣ東京,鈴木　楓,2007/6/5,1643405
48,ＦＣ東京,荒井　悠汰,2004/6/13,1636503
50,ＦＣ東京,東　廉太,2004/6/17,1636504
51,ＦＣ東京,渡邊　麻舟,2008/4/24,1646459
52,ＦＣ東京,新堀　恵太,2008/9/25,1646458
55,ＦＣ東京,尾谷　ディヴァインチネドゥ,2007/5/4,1643410
58,ＦＣ東京,後藤　亘,2006/5/8,1642031
71,ＦＣ東京,山田　楓喜,2001/7/10,1628223
77,ＦＣ東京,北原　槙,2009/7/7,1646471
81,ＦＣ東京,キム　スンギュ,1990/9/30,801425
1,東京ヴェルディ,マテウス,1993/4/10,1629480
4,東京ヴェルディ,林　尚輝,1998/6/9,1632226
5,東京ヴェルディ,井上　竜太,2000/7/25,1635527
6,東京ヴェルディ,宮原　和也,1996/3/22,1300182
7,東京ヴェルディ,松橋　優安,2001/10/27,1629684
8,東京ヴェルディ,齋藤　功佑,1997/6/16,1600180
9,東京ヴェルディ,染野　唯月,2001/9/12,1629408
10,東京ヴェルディ,森田　晃樹,2000/8/8,1614206
11,東京ヴェルディ,山見　大登,1999/8/16,1633603
13,東京ヴェルディ,山田　剛綺,2000/9/19,1640430
14,東京ヴェルディ,福田　湧矢,1999/4/4,1504484
15,東京ヴェルディ,鈴木　海音,2002/8/25,1622187
16,東京ヴェルディ,平川　怜,2000/4/20,1601785
17,東京ヴェルディ,稲見　哲行,1999/4/5,1634685
21,東京ヴェルディ,長沢　祐弥,1996/7/1,1624403
22,東京ヴェルディ,内田　陽介,2002/8/20,1635351
23,東京ヴェルディ,深澤　大輝,1998/8/21,1629919
24,東京ヴェルディ,仲山　獅恩,2007/10/16,1643253
25,東京ヴェルディ,熊取谷　一星,2003/2/14,1635352
27,東京ヴェルディ,白井　亮丞,2005/5/17,1642054
28,東京ヴェルディ,山本　丈偉,2006/5/18,1643252
29,東京ヴェルディ,佐古　真礼,2002/12/2,1622199
30,東京ヴェルディ,川村　楽人,2006/4/6,1643251
31,東京ヴェルディ,馬渡　洋樹,1994/8/16,1607363
35,東京ヴェルディ,田邉　秀斗,2002/5/5,1632232
36,東京ヴェルディ,松田　陸,1999/5/3,1606879
40,東京ヴェルディ,新井　悠太,2003/3/24,1637097
41,東京ヴェルディ,中村　圭佑,2005/4/27,1645943
42,東京ヴェルディ,今井　健人,2007/10/31,1647791
45,東京ヴェルディ,寺沼　星文,2001/3/8,1635473
51,東京ヴェルディ,大藤　颯太,2007/8/7,1646772
55,東京ヴェルディ,吉田　泰授,2000/4/21,1639000
71,東京ヴェルディ,平尾　勇人,2005/1/6,1642068
1,ＦＣ町田ゼルビア,谷　晃生,2000/11/22,1602204
2,ＦＣ町田ゼルビア,今井　智基,1990/11/29,1300071
3,ＦＣ町田ゼルビア,昌子　源,1992/12/11,1100212
4,ＦＣ町田ゼルビア,菊池　流帆,1996/12/9,1624302
5,ＦＣ町田ゼルビア,ドレシェヴィッチ,1997/1/24,1645998
6,ＦＣ町田ゼルビア,望月　ヘンリー海輝,2001/9/20,1635501
7,ＦＣ町田ゼルビア,相馬　勇紀,1997/2/25,1604777
8,ＦＣ町田ゼルビア,仙頭　啓矢,1994/12/29,1607204
9,ＦＣ町田ゼルビア,藤尾　翔太,2001/5/2,1618640
10,ＦＣ町田ゼルビア,ナ　サンホ,1996/8/12,1621161
11,ＦＣ町田ゼルビア,増山　朝陽,1997/1/29,1500498
13,ＦＣ町田ゼルビア,守田　達弥,1990/8/3,900072
16,ＦＣ町田ゼルビア,前　寛之,1995/8/1,1400075
17,ＦＣ町田ゼルビア,カウン　ゼン　マラ,2002/11/11,1630155
18,ＦＣ町田ゼルビア,下田　北斗,1991/11/7,1400049
19,ＦＣ町田ゼルビア,中山　雄太,1997/2/16,1300872
20,ＦＣ町田ゼルビア,西村　拓真,1996/10/22,1500452
22,ＦＣ町田ゼルビア,沼田　駿也,1999/4/19,1636242
23,ＦＣ町田ゼルビア,白崎　凌兵,1993/5/18,1200059
24,ＦＣ町田ゼルビア,キム　ミンテ,1993/11/26,1500538
26,ＦＣ町田ゼルビア,林　幸多郎,2000/11/16,1635337
27,ＦＣ町田ゼルビア,エリキ,1994/7/18,1627565
28,ＦＣ町田ゼルビア,チャ　ジェフン,2006/5/3,1650543
29,ＦＣ町田ゼルビア,西川　楓人,2004/4/28,1641608
31,ＦＣ町田ゼルビア,ネタ　ラヴィ,1996/8/25,1640980
34,ＦＣ町田ゼルビア,徳村　楓大,2007/11/26,1654126
38,ＦＣ町田ゼルビア,高崎　天史郎,2006/2/13,1642041
39,ＦＣ町田ゼルビア,バスケス　バイロン,2000/5/16,1636311
44,ＦＣ町田ゼルビア,新井　栄聡,1995/9/27,1613204
49,ＦＣ町田ゼルビア,桑山　侃士,2002/11/28,1641528
50,ＦＣ町田ゼルビア,岡村　大八,1997/2/15,1500301
60,ＦＣ町田ゼルビア,真也加　チュイ　大夢,2006/8/11,1648369
88,ＦＣ町田ゼルビア,中村　帆高,1997/8/12,1627745
99,ＦＣ町田ゼルビア,テテ　イェンギ,2000/11/28,1656011
1,川崎フロンターレ,山口　瑠伊,1998/5/28,1602297
2,川崎フロンターレ,松長根　悠仁,2004/9/14,1639108
3,川崎フロンターレ,谷口　栄斗,1999/9/30,1634419
5,川崎フロンターレ,佐々木　旭,2000/1/26,1633162
6,川崎フロンターレ,山本　悠樹,1997/11/6,1627763
8,川崎フロンターレ,橘田　健人,1998/5/29,1630136
9,川崎フロンターレ,エリソン,1999/4/13,1645985
10,川崎フロンターレ,大島　僚太,1993/1/23,1100153
11,川崎フロンターレ,小林　悠,1987/9/23,801035
13,川崎フロンターレ,三浦　颯太,2000/9/7,1634321
14,川崎フロンターレ,脇坂　泰斗,1995/6/11,1614103
15,川崎フロンターレ,名願　斗哉,2004/6/29,1640480
16,川崎フロンターレ,大関　友翔,2005/2/6,1639107
17,川崎フロンターレ,伊藤　達哉,1997/6/26,1614208
18,川崎フロンターレ,紺野　和也,1997/7/11,1624510
19,川崎フロンターレ,河原　創,1998/3/13,1629412
20,川崎フロンターレ,持山　匡佑,2003/8/18,1641674
21,川崎フロンターレ,早坂　勇希,1999/5/22,1632987
22,川崎フロンターレ,フィリップ　ウレモヴィッチ,1997/2/11,1652877
23,川崎フロンターレ,マルシーニョ,1995/5/16,1635026
24,川崎フロンターレ,宮城　天,2001/6/2,1627747
25,川崎フロンターレ,山市　秀翔,2004/1/20,1637126
26,川崎フロンターレ,由井　航太,2005/6/10,1641370
27,川崎フロンターレ,神橋　良汰,2002/6/16,1635370
28,川崎フロンターレ,丸山　祐市,1989/6/16,1101476
29,川崎フロンターレ,山原　怜音,1999/6/8,1632749
30,川崎フロンターレ,野田　裕人,2006/4/5,1650535
31,川崎フロンターレ,関　德晴,2007/4/11,1644608
32,川崎フロンターレ,林　駿佑,2007/5/29,1643987
33,川崎フロンターレ,イ　クンヒョン,2006/5/22,1650544
34,川崎フロンターレ,長　璃喜,2007/10/13,1644660
38,川崎フロンターレ,神田　奏真,2005/12/29,1646000
41,川崎フロンターレ,家長　昭博,1986/6/13,4609
49,川崎フロンターレ,スベンド　ブローダーセン,1997/3/22,1634662
91,川崎フロンターレ,ラザル　ロマニッチ,1998/3/25,1652878
1,横浜Ｆ・マリノス,朴　一圭,1989/12/22,1400253
2,横浜Ｆ・マリノス,加藤　蓮,1999/12/28,1635315
6,横浜Ｆ・マリノス,渡辺　皓太,1998/10/18,1503650
7,横浜Ｆ・マリノス,遠野　大弥,1999/3/14,1626015
8,横浜Ｆ・マリノス,喜田　拓也,1994/8/23,1200129
9,横浜Ｆ・マリノス,谷村　海那,1998/3/5,1630058
11,横浜Ｆ・マリノス,ジョルディ　クルークス,1994/1/15,1632280
13,横浜Ｆ・マリノス,井上　太聖,2002/10/1,1637156
15,横浜Ｆ・マリノス,渡邊　泰基,1999/4/22,1504374
17,横浜Ｆ・マリノス,ジェイソン　キニョーネス,1997/8/17,1650799
18,横浜Ｆ・マリノス,オナイウ　情滋,2000/11/11,1637709
19,横浜Ｆ・マリノス,テヴィス,2006/1/28,1656001
20,横浜Ｆ・マリノス,坪井　湧也,1999/8/23,1605619
21,横浜Ｆ・マリノス,飯倉　大樹,1986/6/1,700801
22,横浜Ｆ・マリノス,角田　涼太朗,1999/6/27,1631700
23,横浜Ｆ・マリノス,宮市　亮,1992/12/14,1100118
24,横浜Ｆ・マリノス,近藤　友喜,2001/3/21,1634319
25,横浜Ｆ・マリノス,鈴木　冬一,2000/5/30,1601786
26,横浜Ｆ・マリノス,ディーン　デイビッド,1996/3/14,1652700
27,横浜Ｆ・マリノス,松原　健,1993/2/16,1000273
28,横浜Ｆ・マリノス,山根　陸,2003/8/17,1631771
29,横浜Ｆ・マリノス,樋口　有斗,2005/3/10,1655876
30,横浜Ｆ・マリノス,ユーリ　アラウージョ,1996/4/13,1652657
31,横浜Ｆ・マリノス,木村　凌也,2003/6/10,1634154
32,横浜Ｆ・マリノス,田中　雄大,2002/10/11,1651575
33,横浜Ｆ・マリノス,諏訪間　幸成,2003/6/6,1631768
34,横浜Ｆ・マリノス,木村　卓斗,2000/5/16,1635326
35,横浜Ｆ・マリノス,関富　貫太,2005/10/23,1643434
39,横浜Ｆ・マリノス,高橋　輝,2004/6/26,1639201
40,横浜Ｆ・マリノス,天野　純,1991/7/19,1400045
41,横浜Ｆ・マリノス,松村　晃助,2004/5/2,1639094
44,横浜Ｆ・マリノス,トーマス　デン,1997/3/20,1600663
46,横浜Ｆ・マリノス,浅田　大翔,2008/1/16,1644613
47,横浜Ｆ・マリノス,三井寺　眞,2010/4/2,1656651
49,横浜Ｆ・マリノス,村上　慶,2007/4/11,1654491
1,清水エスパルス,沖　悠哉,1999/8/22,1603857
3,清水エスパルス,高橋　祐治,1993/4/11,900641
4,清水エスパルス,蓮川　壮大,1998/6/27,1603088
5,清水エスパルス,北爪　健吾,1992/4/30,1400640
6,清水エスパルス,宇野　禅斗,2003/11/20,1636270
7,清水エスパルス,カピシャーバ,1997/1/9,1640499
8,清水エスパルス,井上　健太,1998/7/23,1629905
9,清水エスパルス,オ　セフン,1999/1/15,1503986
10,清水エスパルス,マテウス　ブエノ,1998/7/30,1650728
11,清水エスパルス,中原　輝,1996/7/8,1619676
14,清水エスパルス,パク　スンウク,1997/5/7,1635312
15,清水エスパルス,本多　勇喜,1991/1/2,1300084
16,清水エスパルス,梅田　透吾,2000/7/23,1610934
17,清水エスパルス,弓場　将輝,2002/5/13,1627819
18,清水エスパルス,郡司　璃来,2005/8/3,1645859
20,清水エスパルス,オム　ジュヨン,2007/7/17,1655807
21,清水エスパルス,松崎　快,1997/11/22,1629436
22,清水エスパルス,石川　慧,1992/9/30,1100192
23,清水エスパルス,千葉　寛汰,2003/6/17,1635022
25,清水エスパルス,マテウス　ブルネッティ,1999/11/18,1652394
27,清水エスパルス,針生　涼太,2008/3/7,1651476
28,清水エスパルス,吉田　豊,1990/2/17,800144
29,清水エスパルス,アフメド　アフメドフ,1995/3/4,1650727
30,清水エスパルス,佐々木　智太郎,2007/3/23,1643539
33,清水エスパルス,土居　佑至,2007/5/12,1651475
38,清水エスパルス,髙橋　利樹,1998/1/20,1629414
39,清水エスパルス,日髙　華杜,2003/12/11,1637305
41,清水エスパルス,鈴木　奎吾,2003/7/13,1636971
44,清水エスパルス,西原　源樹,2006/12/16,1646181
47,清水エスパルス,嶋本　悠大,2006/10/26,1650537
49,清水エスパルス,北川　航也,1996/7/26,1400298
50,清水エスパルス,アルフレド　ステファンス,1994/12/25,1652850
51,清水エスパルス,住吉　ジェラニレショーン,1997/10/5,1629435
70,清水エスパルス,高木　践,2002/3/14,1641666
81,清水エスパルス,小塚　和季,1994/8/2,1200373
97,清水エスパルス,大畑　凜生,2003/11/23,1645018
1,名古屋グランパス,シュミット　ダニエル,1992/2/3,1000669
2,名古屋グランパス,野上　結貴,1991/4/20,1200335
3,名古屋グランパス,佐藤　瑶大,1998/9/10,1630125
6,名古屋グランパス,河面　旺成,1994/5/3,1603777
7,名古屋グランパス,和泉　竜司,1993/11/6,1503926
9,名古屋グランパス,浅野　雄也,1997/2/17,1624344
10,名古屋グランパス,マテウス　カストロ,1994/9/11,1401498
11,名古屋グランパス,山岸　祐也,1993/8/29,1503339
13,名古屋グランパス,藤井　陽也,2000/12/26,1618633
14,名古屋グランパス,森島　司,1997/4/25,1502575
15,名古屋グランパス,稲垣　祥,1991/12/25,1400047
16,名古屋グランパス,武田　洋平,1987/6/30,600047
17,名古屋グランパス,内田　宅哉,1998/6/2,1602398
18,名古屋グランパス,永井　謙佑,1989/3/5,801348
19,名古屋グランパス,甲田　英將,2003/10/2,1629920
20,名古屋グランパス,三國　ケネディエブス,2000/6/23,1617705
22,名古屋グランパス,木村　勇大,2001/2/28,1633622
25,名古屋グランパス,マルクス　ヴィニシウス,1998/1/24,1636858
27,名古屋グランパス,中山　克広,1996/7/17,1624306
28,名古屋グランパス,榊原　杏太,2001/10/20,1635543
29,名古屋グランパス,吉田　温紀,2003/4/29,1632477
30,名古屋グランパス,杉浦　駿吾,2006/5/14,1646306
31,名古屋グランパス,高嶺　朋樹,1997/12/29,1625563
32,名古屋グランパス,鈴木　陽人,2005/5/17,1637151
33,名古屋グランパス,菊地　泰智,1999/5/7,1633166
35,名古屋グランパス,ピサノ　アレックス幸冬堀尾,2006/1/10,1645017
36,名古屋グランパス,萩　裕陽,2007/6/12,1651271
37,名古屋グランパス,久保　遥夢,2007/6/18,1644774
41,名古屋グランパス,小野　雅史,1996/8/9,1620717
44,名古屋グランパス,森　壮一朗,2007/6/29,1646309
55,名古屋グランパス,徳元　悠平,1995/9/12,1618069
58,名古屋グランパス,小屋松　知哉,1995/4/24,1400056
66,名古屋グランパス,山中　亮輔,1993/4/20,1000187
70,名古屋グランパス,原　輝綺,1998/7/30,1600025
1,京都サンガF.C.,太田　岳志,1990/12/26,1300001
2,京都サンガF.C.,福田　心之助,2000/9/4,1618852
3,京都サンガF.C.,麻田　将吾,1998/7/6,1603180
5,京都サンガF.C.,アピアタウィア　久,1998/10/18,1618764
6,京都サンガF.C.,ジョアン　ペドロ,1999/9/3,1650730
7,京都サンガF.C.,奥川　雅也,1996/4/14,1400677
8,京都サンガF.C.,米本　拓司,1990/12/3,800823
9,京都サンガF.C.,ラファエル　エリアス,1999/4/12,1647904
10,京都サンガF.C.,福岡　慎平,2000/6/27,1601787
11,京都サンガF.C.,マルコ　トゥーリオ,1998/3/13,1645967
15,京都サンガF.C.,永田　倖大,2002/9/8,1630198
16,京都サンガF.C.,平岡　大陽,2002/9/14,1632231
17,京都サンガF.C.,アレックス　ソウザ,2001/3/24,1655795
18,京都サンガF.C.,松田　天馬,1995/6/11,1613092
19,京都サンガF.C.,デイビッジ　シルバ,2008/2/26,1656652
21,京都サンガF.C.,圍　謙太朗,1991/4/23,1400042
22,京都サンガF.C.,須貝　英大,1998/10/27,1630225
25,京都サンガF.C.,尹　星俊,2007/5/4,1649549
29,京都サンガF.C.,酒井　滉生,2007/10/7,1651136
32,京都サンガF.C.,齊藤　未月,1999/1/10,1502267
